datetime,AAPL,GOOG,cash,commission,total,comission,returns,equity_curve,drawdown
2010-01-01,0.0,0.0,100.0,0.0,100.0,,,,
2019-10-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-25,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-28,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-10-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-01,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-19,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-20,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-25,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-26,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-02,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-19,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-20,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-26,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-02,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-28,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-19,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-20,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-25,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-26,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-28,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-02,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-03-09,0.0,0.0,-129741.0034,,-8184.997500000012,0.0,-82.84997500000013,-81.84997500000013,82.84997500000013
2020-03-10,0.0,0.0,-129741.0034,,-1702.001900000003,0.0,-0.7920583482157446,-17.020019000000037,18.020019000000037
2020-03-11,0.0,0.0,-129741.0034,,-8200.0,0.0,3.81785596126537,-82.00000000000004,83.00000000000004
2020-03-12,0.0,0.0,-129741.0034,,-18250.0,0.0,1.225609756097561,-182.50000000000009,183.50000000000009
2020-03-13,0.0,0.0,-129741.0034,,-7768.005399999995,0.0,-0.5743558684931509,-77.680054,78.680054
2020-03-16,0.0,0.0,-129741.0034,,-21308.007799999992,0.0,1.7430475009710995,-213.08007800000007,214.08007800000007
2020-03-17,0.0,0.0,-135769.038,,-17495.945300000007,0.0,-0.17890281136465447,-174.9594530000002,175.9594530000002
2020-03-18,0.0,0.0,-135769.038,,-19950.0,0.0,0.1402641959563049,-199.50000000000014,200.50000000000014
2020-03-19,0.0,0.0,-135769.038,,-18148.0389,0.0,-0.09032386466165421,-181.48038900000012,182.48038900000012
2020-03-20,0.0,0.0,-135769.038,,-22831.80159999999,0.0,0.2580864370970679,-228.31801600000006,229.31801600000006
2020-03-23,0.0,0.0,-135769.038,,-24523.0,0.0,0.07407205220283664,-245.23000000000016,246.23000000000016
2020-03-24,0.0,0.0,-135769.038,,-16178.782299999992,0.0,-0.3402608856991399,-161.78782300000003,162.78782300000003
2020-03-25,0.0,0.0,-135769.038,,-19409.626799999984,0.0,0.1996963949505639,-194.09626799999995,195.09626799999995
2020-03-26,0.0,0.0,-135769.038,,-13162.0769,0.0,-0.3218789296865816,-131.62076900000008,132.62076900000008
2020-03-27,0.0,0.0,-135769.038,,-18532.37909999999,0.0,0.4080132824630429,-185.32379100000003,186.32379100000003
2020-03-30,0.0,0.0,-135769.038,,-14745.425099999993,0.0,-0.20434257142948253,-147.45425100000003,148.45425100000003
2020-03-31,0.0,0.0,-135769.038,,-13159.355100000015,0.0,-0.10756353168821009,-131.59355100000025,132.59355100000025
2020-04-01,0.0,0.0,-135769.038,,-19211.357899999988,0.0,0.45990116947296045,-192.11357900000002,193.11357900000002
2020-04-02,0.0,0.0,-135769.038,,-17589.312699999995,0.0,-0.08443157471966067,-175.89312700000008,176.89312700000008
2020-04-03,0.0,0.0,-135769.038,,-19972.9133,0.0,0.1355141409249041,-199.72913300000013,200.72913300000013
2020-04-06,0.0,0.0,-135769.038,,-10544.775800000003,0.0,-0.4720461836681581,-105.44775800000009,106.44775800000009
2020-04-07,0.0,0.0,-135769.038,,-10661.437600000005,0.0,0.01106346898338062,-106.61437600000012,107.61437600000012
2020-04-08,0.0,0.0,-135769.038,,-8119.1814999999915,0.0,-0.23845340519556313,-81.19181499999998,82.19181499999998
2020-04-09,0.0,0.0,-135769.038,,-7954.405599999998,0.0,-0.02029464423230265,-79.54405600000004,80.54405600000004
2020-04-13,0.0,0.0,-135769.038,,-7212.48510000002,0.0,-0.09327164558970669,-72.12485100000025,73.12485100000025
2020-04-14,0.0,0.0,-135769.038,,-1702.044299999994,0.0,-0.7640141675994604,-17.02044299999995,18.02044299999995
2020-04-15,0.0,0.0,-135769.038,,-2443.250600000014,0.0,0.43548002834005106,-24.432506000000153,25.432506000000153
2020-04-16,0.0,0.0,-135769.038,,-2287.0044000000053,0.0,-0.06395013266343119,-22.870044000000064,23.870044000000064
2020-04-17,0.0,0.0,-135769.038,,-405.81470000000263,0.0,-0.8225562224541406,-4.0581470000000275,5.0581470000000275
2020-04-20,0.0,0.0,-135769.038,,-2215.9069000000018,0.0,4.460390912404079,-22.159069000000024,23.159069000000024
2020-04-21,0.0,0.0,-135769.038,,-7455.9467,0.0,2.364738247802737,-74.55946700000003,75.55946700000003
2020-04-22,0.0,0.0,-135769.038,,-2576.5659000000014,0.0,-0.6544280688058028,-25.765659000000024,26.765659000000024
2020-04-23,0.0,0.0,-135769.038,,-1293.1858000000066,0.0,-0.49809713774446607,-12.931858000000071,13.931858000000071
2020-04-24,0.0,0.0,-135769.038,,-795.5776000000187,0.0,-0.38479250236121165,-7.95577600000019,8.95577600000019
2020-04-27,0.0,0.0,-135769.038,,-1133.6056000000099,0.0,0.42488375741094675,-11.336056000000104,12.336056000000104
2020-04-28,0.0,0.0,-135769.038,,-5468.83660000001,0.0,3.8242850952747256,-54.68836600000013,55.68836600000013
2020-04-29,0.0,0.0,-135769.038,,5539.880000000019,0.0,-2.0129905874313394,55.39880000000022,0.0
2020-04-30,0.0,0.0,-135769.038,,6408.95269999998,0.0,0.15687572655002602,64.08952699999983,0.0
2020-05-01,0.0,0.0,-135769.038,,3486.229300000021,0.0,-0.4560375987795897,34.86229300000023,29.227233999999605
2020-05-04,0.0,0.0,-135769.038,,4207.026299999998,0.0,0.20675547646850778,42.070263,22.019263999999836
2020-05-05,0.0,0.0,-135769.038,,6747.525400000013,0.0,0.6038705058725249,67.47525400000016,0.0
2020-05-06,0.0,0.0,-135769.038,,6442.936400000006,0.0,-0.04514084526454787,64.42936400000009,3.045890000000071
2020-05-07,0.0,0.0,-135769.038,,9046.337599999984,0.0,0.4040706035837909,90.4633759999999,0.0
2020-05-08,0.0,0.0,-135769.038,,10807.257500000007,0.0,0.19465555873130636,108.07257500000013,0.0
2020-05-11,0.0,0.0,-135769.038,,12418.039399999994,0.0,0.14904631447894956,124.180394,0.0
2020-05-12,0.0,0.0,-135769.038,,9576.199700000012,0.0,-0.22884769555490247,95.76199700000016,28.418396999999842
2020-05-13,0.0,0.0,-135769.038,,6841.364699999991,0.0,-0.2855866717148785,68.41364699999994,55.766747000000066
2020-05-14,0.0,0.0,-135769.038,,7568.535299999989,0.0,0.10629028445158006,75.68535299999992,48.495041000000086
2020-05-15,0.0,0.0,-135769.038,,9228.86080000001,0.0,0.21937210228774684,92.28860800000012,31.891785999999883
2020-05-18,0.0,0.0,-135769.038,,10484.784300000014,0.0,0.1360865145999388,104.84784300000017,19.33255099999984
2020-05-19,0.0,0.0,-135769.038,,9393.871700000018,0.0,-0.10404721440001341,93.93871700000021,30.241676999999797
2020-05-20,0.0,0.0,-135769.038,,12869.346300000005,0.0,0.36997254284407366,128.6934630000001,0.0
2020-05-21,0.0,0.0,-135769.038,,12417.9608,0.0,-0.0350744699441341,124.17960800000006,4.513855000000035
2020-05-22,0.0,0.0,-135769.038,,13230.868900000001,0.0,0.06546228588513503,132.30868900000007,0.0
2020-05-26,0.0,0.0,-135769.038,,13836.963299999974,0.0,0.04580911537865617,138.36963299999982,0.0
2020-05-27,0.0,0.0,-135769.038,,13953.395500000013,0.0,0.00841457749620833,139.53395500000022,0.0
2020-05-28,0.0,0.0,-127830.6011,,13842.396900000022,0.0,-0.007954952613504873,138.42396900000028,1.1099859999999353
2020-05-29,0.0,0.0,-127830.6011,,15061.403300000005,0.0,0.08806324575189595,150.61403300000015,0.0
2020-06-01,0.0,0.0,-127830.6011,,15351.393500000006,0.0,0.019253863283775097,153.51393500000015,0.0
2020-06-02,0.0,0.0,-127830.6011,,16091.396000000008,0.0,0.04820425585468846,160.91396000000017,0.0
2020-06-03,0.0,0.0,-127830.6011,,15807.399399999995,0.0,-0.017648972158786802,158.07399400000003,2.839966000000146
2020-06-04,0.0,0.0,-127830.6011,,13387.404299999995,0.0,-0.15309255107453035,133.87404300000003,27.039917000000145
2020-06-05,0.0,0.0,-127830.6011,,16008.400399999984,0.0,0.19578075340564638,160.08400399999994,0.8299560000002373
2020-06-08,0.0,0.0,-127830.6011,,16830.397400000016,0.0,0.05134785359316929,168.30397400000027,0.0
2020-06-09,0.0,0.0,-127830.6011,,17785.402299999987,0.0,0.05674286098556225,177.85402299999996,0.0
2020-06-10,0.0,0.0,-127830.6011,,18754.396500000003,0.0,0.0544825573048755,187.5439650000001,0.0
2020-06-11,0.0,0.0,-127830.6011,,12553.395500000013,0.0,-0.3306425242742409,125.53395500000018,62.01000999999992
2020-06-12,0.0,0.0,-127830.6011,,13487.404299999995,0.0,0.07440288167452236,134.874043,52.6699220000001
2020-06-15,0.0,0.0,-127830.6011,,14154.396500000003,0.0,0.0494529699832611,141.54396500000007,46.00000000000003
2020-06-16,0.0,0.0,-127830.6011,,16441.396000000008,0.0,0.16157520385980462,164.41396000000015,23.130004999999954
2020-06-17,0.0,0.0,-127830.6011,,17281.398400000005,0.0,0.051090698137797874,172.81398400000012,14.729980999999981
2020-06-18,0.0,0.0,-127830.6011,,15765.39499999999,0.0,-0.08772457904795572,157.65394999999995,29.890015000000147
2020-06-19,0.0,0.0,-127830.6011,,15341.396000000008,0.0,-0.026894283333844915,153.41396000000015,34.130004999999954
2020-06-22,0.0,0.0,-127830.6011,,17355.397400000016,0.0,0.1312788875275761,173.5539740000002,13.98999099999989
2020-06-23,0.0,0.0,-127830.6011,,18610.402299999987,0.0,0.07231208085157248,186.10402299999993,1.4399420000001726
2020-06-24,0.0,0.0,-127830.6011,,15366.396000000008,0.0,-0.17431145483620103,153.66396000000012,33.88000499999998
2020-06-25,0.0,0.0,-127830.6011,,16302.394499999995,0.0,0.06091203819034652,163.023945,24.520020000000102
2020-06-26,0.0,0.0,-127830.6011,,8159.401299999998,0.0,-0.49949675797625925,81.594013,105.9499520000001
2020-06-29,0.0,0.0,-127830.6011,,11666.396000000008,0.0,0.4298102974785676,116.66396000000012,70.88000499999998
2020-06-30,0.0,0.0,-127830.6011,,13530.397400000016,0.0,0.15977525535735349,135.3039740000002,52.23999099999989
2020-07-01,0.0,0.0,-127830.6011,,15973.40280000001,0.0,0.18055681054866812,159.73402800000017,27.809936999999934
2020-07-02,0.0,0.0,-127830.6011,,18639.394,0.0,0.16690189519292575,186.39394000000007,1.1500250000000278
2020-07-06,0.0,0.0,-127830.6011,,21739.394,0.0,0.16631441987867213,217.3939400000001,0.0
2020-07-07,0.0,0.0,-127830.6011,,20687.404299999995,0.0,-0.048390939508249686,206.87404300000003,10.519897000000071
2020-07-08,0.0,0.0,-127830.6011,,21769.3989,0.0,0.05230209572498201,217.69398900000007,0.0
2020-07-09,0.0,0.0,-127830.6011,,23268.39790000001,0.0,0.06885807949433143,232.6839790000002,0.0
2020-07-10,0.0,0.0,-127830.6011,,26343.39790000001,0.0,0.13215349046442082,263.4339790000002,0.0
2020-07-13,0.0,0.0,-127830.6011,,23303.395500000013,0.0,-0.11539902375312017,233.03395500000022,30.400023999999974
2020-07-14,0.0,0.0,-127830.6011,,24227.394499999995,0.0,0.03965083114175272,242.27394500000003,21.160034000000167
2020-07-15,0.0,0.0,-127830.6011,,23533.400399999984,0.0,-0.028645015872425406,235.3340039999999,28.099975000000285
2020-07-16,0.0,0.0,-127830.6011,,23969.3989,0.0,0.018526795643183602,239.69398900000004,23.739990000000148
2020-07-17,0.0,0.0,-127830.6011,,23724.4038,0.0,-0.010221161616197239,237.24403800000005,26.189941000000147
2020-07-20,0.0,0.0,-127830.6011,,28741.396000000008,0.0,0.21146968506749197,287.41396000000015,0.0
2020-07-21,0.0,0.0,-127830.6011,,28011.403300000005,0.0,-0.025398651478167666,280.1140330000001,7.299927000000025
2020-07-22,0.0,0.0,-127830.6011,,29018.39790000001,0.0,0.03594945205761979,290.18397900000014,0.0
2020-07-23,0.0,0.0,-127830.6011,,23737.404299999995,0.0,-0.1819877726605994,237.37404299999997,52.809936000000164
2020-07-24,0.0,0.0,-127830.6011,,23356.398400000005,0.0,-0.016050866185060908,233.5639840000001,56.619995000000046
2020-07-27,0.0,0.0,-127830.6011,,25189.394,0.0,0.07847937719712794,251.89394000000004,38.29003900000009
2020-07-28,0.0,0.0,-127830.6011,,22203.395500000013,0.0,-0.11854189505313173,222.0339550000002,68.15002399999995
2020-07-29,0.0,0.0,-127830.6011,,24371.40089999998,0.0,0.0976429663652103,243.71400899999983,46.4699700000003
2020-07-30,0.0,0.0,-127830.6011,,25314.394,0.0,0.038692609582406945,253.14394000000004,37.04003900000009
2020-07-31,0.0,0.0,-127830.6011,,20465.39499999999,0.0,-0.19155105984366094,204.65394999999992,85.53002900000021
2020-08-03,0.0,0.0,-127830.6011,,19614.394,0.0,-0.04158243708464893,196.14394000000004,94.04003900000009
2020-08-04,0.0,0.0,-127830.6011,,18666.396000000008,0.0,-0.04833175065209727,186.66396000000012,103.52001900000002
2020-08-05,0.0,0.0,-127830.6011,,19530.397400000016,0.0,0.04628646043939111,195.3039740000002,94.88000499999993
2020-08-06,0.0,0.0,-127830.6011,,22179.396500000003,0.0,0.1356346747967343,221.7939650000001,68.39001400000004
2020-08-07,0.0,0.0,-127830.6011,,21618.39790000001,0.0,-0.025293681908792776,216.1839790000002,73.99999999999994
2020-08-10,0.0,0.0,-127830.6011,,21779.396500000003,0.0,0.007447295620365724,217.79396500000013,72.39001400000001
2020-08-11,0.0,0.0,-127830.6011,,20201.393500000006,0.0,-0.07245393599404815,202.01393500000015,88.17004399999999
2020-08-12,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-13,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-14,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-17,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-18,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-19,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-20,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-21,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-24,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-25,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-26,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-27,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-28,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-31,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-01,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-02,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-03,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-04,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-08,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-09,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-10,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-11,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-14,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-15,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-16,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-17,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-18,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-21,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-22,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-23,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-24,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-25,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-28,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-29,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-30,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-01,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-02,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-05,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-10-05,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
